FOTNUM;VAR1;SERIES;COUNTRY;LOCALIS;CHRONOL;SEX;ANTER_AREA;MIN_AXIS_ANT;MAJ_AXIS_ANT;ANT_PERIM;ANT_COMPACT;ANT_SH_FACT;L_POST_AREA;L_POST_MIN_A;L_POST_MAJ_A;L_POST_PERIM;L_POST_COMPA;L_POST_SH_FA;R_POST_AREA;R_POST_MIN_A;R_POST_MAJ_A;R_POST_PERIM;R_POST_COMP;R_POST_SH_FA;NOSE_ANGLE;NOSE_SLOPE;POST_AREA;G_OP;EU_EU;BA_B;N_PR;ZY_ZY;ZM_ZM;FT_FT;OL_ALV;ENM_ENM;ID_GN;KLD_KLD;GO_GO;N_NS;APT_APT;NOSINDEX;NOSEINDEX2;VOLUME;VOLUME2;VOLUME3;FACE;CRANSIZE;WIELK(1);WIELK(2);WIELKTSQUARE;WIELKPROB;BASE1;BASE2;BASEFIN;NOSE_SL2;NOSE_AN2;BASEIND;TEMP_YEAR;PERCP_YEAR;MIN_TEMP;MAX_TEMP;MIN_PERC;MAX_PERC;P_T_MAX;P_T_MIN;POST_PERIM;MAJ_AXIS_POS;MIN_AXIS_POS;PROGNATH;POSTINDEX2;ANTER_AREA2;CLUSTER;PALATE;FACTOR(1);FACTOR(2);TSQUARE;PROB;GLOWNY;WYS_DL;WYS_SZER;CZOL_CIEM;GRN_TWARZ;TWARZ_GRN;JARZ_ZUCHW;CZOL_TWARZ;SZCZ_JARZ;NOS_TWARZ;TWARZ_NOS;PODNIEB;ZUCHW_JARZ;ZUCIE;PRZELICZNIK;ANTER_POPR;ROZNICA
1;kal 0017x01;Eskimo;431;nw;;male;766,360592920219;25,2549434209573;40,6967443399667;117,035340436822;17,8731409700612;0,703086862874788;276,690909412067;14,3397137777188;24,3866387994701;66,9177958204854;16,1840929540741;0,776464312829827;306,650279072173;15,9413250012268;24,1842656664134;68,9444255337127;15,5008298918095;0,810690182530107;18,1349947399675;23,7873801691921;583,34118848424;195;129;140;79;;105;100;53;31;35;121;107;55;21;38,1818181818182;62,0564220321561;35767,0972072181;351920,271281188;351881,801416314;8097,5;154,666666666667;3,78107432495235;-2,39235958640384;6,14251963263888;0,051900360742968;24,2434210526316;5,44357157058549;18,7998494820461;0,415168104376008;0,316515368044285;89,523092771648;-6,361;47,178;-18,883;6,619;36,425;545,413;555,2;35,406;67,9311106770991;48,5709044658835;30,2810387789456;5,65238542922464;62,3439878502061;1004,89563175748;3;170,967741935484;1,98003352131199;-1,70528880055503;6,82854263881757;0,035554291196195;66,1538461538462;71,7948717948718;108,527131782946;77,5193798449613;54,1095890410959;75,2380952380952;73,2876712328767;68,4931506849315;71,9178082191781;14,3835616438356;20;58,4905660377359;101,904761904762;0,961346785742208;1,070469524;820,365659115664;184,529972641819
2;kal 0033x01;Eskimo;431;nw;;male;635,533983926221;22,7401581328678;36,8468425535253;104,315111121383;17,122046473489;0,733929243435727;312,988683127572;13,9915955568945;26,3031420405839;73,2277737423447;17,1325902063826;0,733477568947963;346,047668038409;15,854707254077;26,881369472022;74,6309523472105;16,0954098602202;0,780742505067671;27,8483044129188;33,2371540896827;659,036351165981;197;137;139;78;132;95;92,5;53;38;35;120;108;51;21;41,1764705882353;61,7153507789291;34306,1138799433;338569,171900795;338533,650461365;7312,5;157,666666666667;2,95148335094168;-1,50263863352776;3,00326909463961;0,23059179651295;33,4207181566533;4,81090578585665;28,6098123707966;0,580097772857662;0,4860446031031;136,237201765698;-6,361;47,178;-18,883;6,619;36,425;545,413;555,2;35,406;73,9293630447776;53,184511512606;29,8463028109715;5,38884967676389;56,1184110977446;932,412396871629;2;139,473684210526;1,05528160014176;0,689732438390713;1,58935009216616;0,455115232696436;69,5431472081218;70,5583756345178;101,459854014599;67,5182481751825;59,0909090909091;82,1052631578947;81,8181818181818;70,0757575757576;71,969696969697;15,9090909090909;22,1052631578947;71,6981132075472;113,684210526316;0,235233708736135;1,015336166;645,280638602354;287,131758269275
3;kal 1527x01;Eskimo;431;nw;;male;474,931129476584;20,2406196901246;30,749903672363;90,2088999211147;17,1343698484159;0,733401387126061;243,556155140874;15,2312912954714;20,9838333279027;62,1228762494521;15,8454289577389;0,793059667104928;220,870883715384;13,4505855567127;20,8669973559116;58,859322937694;15,6852720395144;0,801157326611993;9,83145695948211;16,4403795216802;464,427038856258;188;140;137;69,5;137;103,5;92;48;43;30;126;114;52;20;38,4615384615385;65,8233596624766;22544,5960399882;222501,60706299;222479,471994627;6793,625;155;2,75116985567959;-0,013354631934529;1,42951552821842;0,494904952356475;15,344262295082;6,02481169694284;9,31945059813913;0,286938752930769;0,171591294211074;46,5972529906956;-6,361;47,178;-18,883;6,619;36,425;545,413;555,2;35,406;60,491099593573;41,8508306838143;28,6818768521841;6,60892256219806;68,5335903339112;556,025852330602;1;111,627906976744;1,64911748310898;1,17395275011145;4,09775353258996;0,133130387294855;74,468085106383;72,8723404255319;97,8571428571429;65,7142857142857;50,7299270072993;67,1497584541063;83,2116788321168;67,1532846715328;75,5474452554745;14,5985401459854;19,3236714975845;89,5833333333333;110,144927536232;1,1970193302165;1,152464113;547,34108286832;8,68476946228202
4;kal 1501x01;Eskimo;431;nw;;male;719,586321736337;25,5810467104176;39,0263414898518;109,471319484185;16,6539710770093;0,754557009631592;253,902780434318;16,3186982170079;21,2858448100655;63,7406580809906;16,0016817683049;0,785315618465168;270,772086098919;15,1154063226734;23,3471065457829;66,3089457751637;16,2382923334546;0,773872668154247;26,1492616700278;32,3604170838011;524,674866533237;195;134;138;70;143;102;93;52;45;36;117;116;51;22;43,1372549019608;65,5481547433023;32350,7908950089;317975,57244859;317961,985164014;6825;155,666666666667;3,81353086738131;-1,37354504169777;3,88127542693404;0,151305577488884;32,3161823799403;5,55042001319837;26,765762366742;0,56479582543095;0,456390713107537;121,662556212464;-6,361;47,178;-18,883;6,619;36,425;545,413;555,2;35,406;65,0248019280771;44,6329513558485;31,4341045396814;6,21115541377321;70,4280214164292;1036,71600963263;3;115,555555555556;0,923274926667693;2,62461734895141;7,74105281862996;0,022964855162837;68,7179487179487;70,7692307692308;102,985074626866;69,4029850746269;48,951048951049;68,6274509803922;81,1188811188811;65,034965034965;71,3286713286713;15,3846153846154;21,5686274509804;86,5384615384616;113,725490196078;1,39606803481473;1,035704705;745,278939075968;291,437070556657
5;kal 0001x02;Eskimo;431;nw;;female;532,568897155395;24,2186779213013;30,0879488487217;91,7550155234479;15,8082511364753;0,794924783638087;221,904627252359;13,7315988822358;19,7530162571372;58,332297595587;15,3338710639435;0,819517169666837;277,713132708403;16,2419912079182;22,4616776340889;64,9102750839281;15,1715684828459;0,82828420993964;7,76806522774345;14,3935929684905;499,617759960763;178;136;133;74;136,5;99;100;46;43;26;118;108;65,5;22;29,7297297297297;80,4929509920057;23740,2931136716;234267,493467695;234145,263003033;7363;149;1,76325974818214;0,854962919068241;1,02682730111145;0,602787574296856;16,8097345132743;7,60818385970477;9,20155065356956;0,251215588492064;0,135578314733806;41,825230243498;-6,361;47,178;-18,883;6,619;36,425;545,413;555,2;35,406;61,6212863397575;42,2146938912261;29,973590090154;6,62552774074707;71,0027417642456;604,552688771776;1;106,976744186047;1,48265300508594;0,948274582156011;3,09748461665352;0,216932705458421;76,4044943820225;74,7191011235955;97,7941176470588;73,5294117647059;54,2124542124542;74,7474747474748;79,1208791208791;73,2600732600733;72,5274725274725;16,1172161172161;22,2222222222222;93,4782608695652;109,090909090909;1,05376119176458;1,071797304;570,805908165406;33,7467806063702
6;kal 1519x01;Eskimo;431;nw;;female;570,904633919965;23,5086185044828;32,5875952499859;95,8470271338683;16,0913961186876;0,780937248804988;259,000005257422;13,2839859817289;24,1293188572454;65,2503674094816;16,4386500411098;0,764440546087009;246,808834677637;15,0245212345548;23,7492894210332;64,9718837584213;17,1037057268692;0,734716254771501;8,8055839992155;15,0684881594922;505,808839935059;177;131;125;68;;91,5;96;43,5;41,5;28;123;106;47;20;42,5531914893617;72,1397768817967;23418,5180563468;230990,576470702;230984,991130953;6375;144,333333333333;0,212710954237575;0,515276948751391;0,168248214735299;0,920100433038938;12,6538461538461;5,15804971968967;7,49579643415648;0,262994731680919;0,15368643334724;37,4789821707824;-6,361;47,178;-18,883;6,619;36,425;545,413;555,2;35,406;65,1111255839514;47,8786082782787;28,3085072162837;6,2629041602767;59,1255849621814;658,299941284934;1;104,819277108434;0,991889275899533;0,343597507422156;1,10190358275122;0,57899064943328;74,0112994350283;70,6214689265537;95,4198473282443;73,2824427480916;48,9208633093525;74,3169398907104;76,2589928057554;69,0647482014388;65,8273381294964;14,3884892086331;21,8579234972678;95,4022988505747;115,846994535519;0,659421756725011;1,043774441;595,895665134121;62,4042761508133
7;kal 1503x01;Eskimo;431;nw;;male;646,670458225331;24,3254617684644;37,0627049648841;104,427483772559;16,8634568478589;0,745183548529359;297,775504862035;14,7683033154926;24,0561030283211;68,6764882931834;15,8389792554259;0,793382604504285;280,291613824977;14,6606284520957;23,3220794872894;66,064588983932;15,5713895897764;0,807016646902841;24,0034690216697;35,495641277497;578,067118687012;188;133;142;71;141;102,5;100;45;44;36;122;111;53;22;41,5094339622642;65,6332606902602;27556,5954805277;271830,358462043;271820,005240568;7188,75;154,333333333333;3,45160265494432;-0,283905163355196;2,29838109576262;0,324199666194961;37,7984496124031;10,7754315042851;27,023018108118;0,619515810399129;0,418939566328599;122,831900491446;-6,361;47,178;-18,883;6,619;36,425;545,413;555,2;35,406;67,3705386385578;47,3781825156105;29,4289317675883;11,4921722558272;62,1149444850313;909,730797337537;2;102,272727272727;-0,072685755412275;1,70884846361126;2,92544629062643;0,235996878081349;70,7446808510638;75,531914893617;106,766917293233;75,187969924812;50,354609929078;69,2682926829268;78,7234042553192;70,9219858156028;72,6950354609929;15,6028368794326;21,4634146341463;97,7777777777778;108,292682926829;1,51752912826193;1,029703838;665,879052755842;243,851744581695
8;kal 1531x01;Eskimo;431;nw;;male;786,946447193143;24,3442097486505;45,630180786106;121,422845962917;18,7350836569895;0,670740032146641;262,713069289185;14,8094105041501;22,1915697862498;63,781682148838;15,4849661219457;0,811520704365622;261,156563966196;13,5777734542192;24,089798079826;64,903657854458;16,1301126761409;0,779062791851845;19,0573714966394;20,1363034282481;523,869633255381;183;144;142;75,5;151;102,5;102,5;45,5;41;35;131;122;54,5;22;40,3669724770642;53,3511139540852;29821,0658302039;292325,968189253;292325,862132074;7738,75;156,333333333333;4,74455689503707;0,905501560174121;4,74439885253541;0,100317049897888;19,9833333333333;1,02640617154749;18,9569271617858;0,351444794003552;0,332613879392077;86,1678507353902;-6,361;47,178;-18,883;6,619;36,425;545,413;555,2;35,406;64,342670001648;46,2813678660758;28,3871839583694;1,07893193160871;61,3360954250817;1043,89607688218;3;110,975609756098;0,474877762983823;0,695367443695746;0,709044771528477;0,703280061002042;78,6885245901639;77,5956284153005;98,6111111111111;71,1805555555556;50;73,6585365853659;80,794701986755;67,8807947019868;67,8807947019868;14,5695364238411;21,4634146341463;90,1098901098901;119,024390243902;2,18442345743275;1,035336413;814,754311860043;229,14176502214
9;kal 1535x01;Eskimo;431;nw;;female;515,684959236811;22,4239663872038;34,456099450505;101,194553451018;19,8577396232502;0,632819789803567;201,108575540878;12,8419426224768;20,6503283045406;57,1392078846642;16,2344597633692;0,774055361097599;244,562969396627;13,7459492251286;21,3793927046308;61,4780329079164;15,4542960430663;0,813131221204809;7,77963412737043;17,8188889145228;445,671544937505;185;137;134;65;;87;96;47;32,5;29;;;47;21,5;45,7446808510638;65,079816766303;22591,8778480964;222775,5314596;222687,179045914;5947,5;152;;;;;15,1071428571429;8,32057416267942;6,78656869446344;0,310998280605541;0,13578023012313;31,565435788202;-6,361;47,178;-18,883;6,619;36,425;545,413;555,2;35,406;59,3086203962903;42,0297210091714;26,5878918476055;10,0392547871523;63,2597390827402;585,489829179138;1;144,615384615385;1,80960253527632;-2,07809221831966;7,5931286035192;0,024647712870704;74,0540540540541;72,4324324324324;97,8102189781022;70,0729927007299;;74,7126436781609;;;;;24,7126436781609;69,1489361702128;;;1,016636039;524,263914330388;61,2259148487498
10;kal 1538x01;Eskimo;431;nw;;male;644,334564009807;24,9830440800561;34,594489245728;108,793718844538;18,3694526433077;0,684090639953681;314,403267310222;15,3539933276824;24,7890021245954;70,3679117919536;15,7493369974249;0,797898388764798;301,364293173524;15,1218197347245;24,8333738822857;69,1196006526969;15,8529703173476;0,792682403537213;5,74660059689228;17,0739660299459;615,767560483745;206;138;149;75;144;107;97;48;41;37;127;115;55;22;40;72,2168317115454;30242,4509878452;298455,456871645;298449,88106175;7650;164,333333333333;5,40633290391831;-0,703817172272615;5,81780334612999;0,060440121507706;16,8928571428571;11,0174048765836;5,87545226627354;0,297996923596221;0,100297101212842;26,7066012103343;-6,361;47,178;-18,883;6,619;36,425;545,413;555,2;35,406;69,7437562223252;49,6223760068811;30,4758130624069;11,3273654330537;61,4154651888914;708,851158371653;1;117,073170731707;2,02384575534852;0,445845900458906;4,29473020839825;0,120961943232805;66,9902912621359;72,3300970873787;107,971014492754;70,2898550724638;52,0833333333333;70,0934579439252;79,8611111111111;67,3611111111111;74,3055555555556;15,2777777777778;20,5607476635514;85,4166666666667;107,476635514019;1,67767303314248;1,023970883;659,779832456542;49,0713259151115
